datum_von,datum_bis,energietraeger,erzeugung_mwh,jahr,monat
2021-09-01,2021-10-01,Erdgas,3791551.5,2021,9
2021-09-01,2021-10-01,Kernenergie,5457143.0,2021,9
2021-09-01,2021-10-01,Photovoltaik,4766983.0,2021,9
2021-09-01,2021-10-01,Pumpspeicher,648898.5,2021,9
2021-09-01,2021-10-01,Sonstige Erneuerbare,93834.0,2021,9
2021-09-01,2021-10-01,Sonstige Konventionelle,961596.5,2021,9
2021-09-01,2021-10-01,Steinkohle,6440081.5,2021,9
2021-09-01,2021-10-01,Wasserkraft,1233361.0,2021,9
2021-09-01,2021-10-01,Wind offshore,1356177.25,2021,9
2021-09-01,2021-10-01,Wind onshore,4453358.5,2021,9
2021-10-01,2021-11-01,Biomasse,3230222.5,2021,10
2021-10-01,2021-11-01,Braunkohle,8951692.25,2021,10
2021-10-01,2021-11-01,Erdgas,3548072.0,2021,10
2021-10-01,2021-11-01,Kernenergie,5300847.5,2021,10
2021-10-01,2021-11-01,Photovoltaik,3189160.0,2021,10
2021-10-01,2021-11-01,Pumpspeicher,692777.5,2021,10
2021-10-01,2021-11-01,Sonstige Erneuerbare,128212.5,2021,10
2021-10-01,2021-11-01,Sonstige Konventionelle,1073711.75,2021,10
2021-10-01,2021-11-01,Steinkohle,4828411.5,2021,10
2021-10-01,2021-11-01,Wasserkraft,907810.75,2021,10
2021-10-01,2021-11-01,Wind offshore,2923248.25,2021,10
2021-10-01,2021-11-01,Wind onshore,10151375.5,2021,10
2021-11-01,2021-12-01,Biomasse,3237410.5,2021,11
2021-11-01,2021-12-01,Braunkohle,9301506.5,2021,11
2021-11-01,2021-12-01,Erdgas,6047484.5,2021,11
2021-11-01,2021-12-01,Kernenergie,5601700.5,2021,11
2021-11-01,2021-12-01,Photovoltaik,1099522.75,2021,11
2021-11-01,2021-12-01,Pumpspeicher,807549.5,2021,11
2021-11-01,2021-12-01,Sonstige Erneuerbare,143117.0,2021,11
2021-11-01,2021-12-01,Sonstige Konventionelle,1140535.75,2021,11
2021-11-01,2021-12-01,Steinkohle,7012461.5,2021,11
2021-11-01,2021-12-01,Wasserkraft,840243.25,2021,11
2021-11-01,2021-12-01,Wind offshore,2533268.75,2021,11
2021-11-01,2021-12-01,Wind onshore,7803281.75,2021,11
2021-12-01,2022-01-01,Biomasse,3362434.25,2021,12
