Datum von;Datum bis;Biomasse [MWh] Berechnete Auflösungen;Wasserkraft [MWh] Berechnete Auflösungen;Wind Offshore [MWh] Berechnete Auflösungen;Wind Onshore [MWh] Berechnete Auflösungen;Photovoltaik [MWh] Berechnete Auflösungen;Sonstige Erneuerbare [MWh] Berechnete Auflösungen;Kernenergie [MWh] Berechnete Auflösungen;Braunkohle [MWh] Berechnete Auflösungen;Steinkohle [MWh] Berechnete Auflösungen;Erdgas [MWh] Berechnete Auflösungen;Pumpspeicher [MWh] Berechnete Auflösungen;Sonstige Konventionelle [MWh] Berechnete Auflösungen
01.01.2025;01.02.2025;3.215.965,00;1.301.460,25;2.539.817,75;13.201.131,50;1.627.464,75;96.204,89;-;6.826.962,00;3.611.040,75;7.924.274,25;853.112,25;1.233.616,75
01.02.2025;01.03.2025;2.982.355,25;1.093.729,00;2.260.150,50;7.227.404,00;3.018.648,00;84.728,25;-;7.092.101,00;4.236.837,75;7.702.449,00;744.985,75;1.157.822,50
01.03.2025;01.04.2025;3.129.644,89;965.179,75;1.889.088,00;6.491.692,25;6.906.310,40;87.653,72;-;7.277.676,75;3.184.093,50;5.649.854,75;903.139,00;1.223.664,75
01.04.2025;01.05.2025;2.974.209,25;1.003.416,25;1.080.769,75;5.843.161,25;8.951.024,50;81.003,25;-;5.340.820,50;2.398.520,00;3.692.677,25;954.915,25;1.169.981,00
01.05.2025;01.06.2025;2.926.019,00;1.175.772,25;1.861.451,25;7.858.113,25;10.217.138,50;75.802,00;-;4.105.918,50;985.455,25;3.130.741,75;984.972,00;1.182.706,25
01.06.2025;01.07.2025;2.819.445,00;1.343.208,75;1.848.906,25;8.676.526,75;10.536.110,75;65.539,75;-;3.635.517,75;1.201.003,75;2.394.517,25;916.778,25;1.064.827,75
01.07.2025;01.08.2025;2.882.519,84;1.405.119,49;1.561.247,83;6.167.800,71;9.056.373,02;66.518,95;-;5.754.061,25;1.909.475,25;2.927.114,00;808.930,25;1.077.294,00
01.08.2025;01.09.2025;2.852.499,35;1.463.011,45;1.699.077,95;5.459.159,51;9.672.278,48;73.973,16;-;4.518.747,75;1.301.445,00;3.015.974,75;843.045,25;1.075.939,50
01.09.2025;01.10.2025;2.794.210,42;1.208.876,63;2.410.541,28;9.721.142,41;6.435.895,39;72.157,99;-;4.925.688,75;1.397.569,00;3.790.773,75;733.651,25;1.014.139,00
01.10.2025;01.11.2025;3.034.056,45;1.116.769,65;2.901.834,16;13.695.534,40;3.642.622,45;79.788,30;-;5.648.721,13;2.166.156,53;5.275.413,52;756.737,01;1.394.098,94
01.11.2025;01.12.2025;3.069.622,61;1.084.135,10;2.716.300,26;9.952.192,85;2.210.900,10;81.528,93;-;6.595.504,11;3.165.924,61;7.519.788,06;673.562,25;1.350.662,80
01.12.2025;01.01.2026;3.193.590,01;1.022.205,69;3.425.383,69;12.474.033,51;1.509.063,85;88.217,82;-;5.444.634,18;2.599.886,52;7.523.775,97;719.716,35;1.429.378,01
