Datum von;Datum bis;Nettoexport [MWh] Berechnete Auflösungen;Niederlande (Export) [MWh] Berechnete Auflösungen;Niederlande (Import) [MWh] Berechnete Auflösungen;Schweiz (Export) [MWh] Berechnete Auflösungen;Schweiz (Import) [MWh] Berechnete Auflösungen;Dänemark (Export) [MWh] Berechnete Auflösungen;Dänemark (Import) [MWh] Berechnete Auflösungen;Tschechien (Export) [MWh] Berechnete Auflösungen;Tschechien (Import) [MWh] Berechnete Auflösungen;Luxemburg (Export) [MWh] Berechnete Auflösungen;Luxemburg (Import) [MWh] Berechnete Auflösungen;Schweden (Export) [MWh] Berechnete Auflösungen;Schweden (Import) [MWh] Berechnete Auflösungen;Österreich (Export) [MWh] Berechnete Auflösungen;Österreich (Import) [MWh] Berechnete Auflösungen;Frankreich (Export) [MWh] Berechnete Auflösungen;Frankreich (Import) [MWh] Berechnete Auflösungen;Polen (Export) [MWh] Berechnete Auflösungen;Polen (Import) [MWh] Berechnete Auflösungen;Norwegen (Export) [MWh] Berechnete Auflösungen;Norwegen (Import) [MWh] Berechnete Auflösungen;Belgien (Export) [MWh] Berechnete Auflösungen;Belgien (Import) [MWh] Berechnete Auflösungen
01.06.2022;01.07.2022;301.619,00;387.899,00;-948.727,00;874.901,00;-110.519,00;313.896,00;-1.124.689,00;281.561,00;-304.471,00;307.205,00;0,00;2.548,00;-204.690,00;877.039,00;-74.220,00;882.346,00;-214.437,00;210.671,00;-266.331,00;61.951,00;-726.351,00;343.804,00;-267.767,00
01.07.2022;01.08.2022;1.006.985,00;435.176,00;-502.926,00;934.933,00;-68.637,00;150.369,00;-1.772.982,00;248.507,00;-313.303,00;319.028,00;0,00;525,00;-334.801,00;947.042,00;-47.421,00;1.477.872,00;-30.045,00;208.596,00;-247.545,00;81.420,00;-567.177,00;413.448,50;-325.094,50
01.08.2022;01.09.2022;275.669,75;355.714,00;-642.290,00;816.439,00;-182.186,00;188.429,00;-1.013.838,00;175.055,00;-310.680,00;311.751,00;0,00;0,00;-331.086,00;789.866,00;-84.356,00;1.163.957,00;-260.708,00;129.312,00;-253.419,00;83.888,00;-451.369,00;230.129,75;-438.939,00
01.09.2022;01.10.2022;1.918.172,25;293.390,00;-535.334,00;717.374,00;-128.562,00;480.099,00;-757.606,00;188.303,00;-274.629,00;315.914,00;0,00;6.289,00;-284.361,00;856.071,00;-67.154,00;1.286.681,00;-96.934,00;160.638,00;-158.222,00;221.545,00;-226.602,00;293.119,50;-371.847,25
01.10.2022;01.11.2022;988.446,25;381.288,00;-893.835,00;530.894,00;-299.303,00;379.527,00;-1.046.856,00;430.522,00;-114.364,00;322.473,00;0,00;5.425,00;-276.837,00;1.237.284,00;-28.222,00;1.014.192,00;-475.889,00;320.954,00;-71.092,00;108.846,00;-481.836,00;323.378,25;-378.143,25
01.11.2022;01.12.2022;2.752.055,50;398.828,00;-509.628,00;720.682,00;-15.367,00;174.184,00;-1.527.658,00;499.373,00;-125.896,00;314.328,00;0,00;4.280,00;-273.062,00;1.546.461,00;-11.118,00;1.482.392,00;-114.315,00;396.493,00;-66.284,00;23.536,00;-582.842,00;758.678,75;-341.010,25
01.12.2022;01.01.2023;3.785.703,00;573.958,00;-378.066,00;731.130,00;-103.156,00;746.932,00;-919.312,00;185.809,00;-381.098,00;333.226,00;0,00;25.911,00;-101.400,00;1.088.296,00;-109.964,00;2.024.379,00;-168.789,00;201.837,00;-246.824,00;267.606,00;-355.254,00;565.192,75;-194.710,75
01.01.2023;01.02.2023;3.960.292,86;700.620,30;-401.362,15;675.644,51;-99.919,97;596.548,30;-1.153.219,50;451.950,70;-257.567,90;334.569,61;0,00;48.161,40;-260.019,70;1.425.455,72;-40.303,63;1.655.617,40;-414.057,70;356.616,90;-223.973,40;348.335,00;-419.909,00;978.846,38;-341.740,40
01.02.2023;01.03.2023;2.797.387,17;528.698,10;-355.426,25;694.093,92;-52.621,38;225.406,70;-1.479.656,40;381.334,80;-200.598,70;313.406,11;0,00;1.697,10;-291.644,90;1.121.182,62;-45.391,42;2.120.796,85;-63.770,05;296.696,10;-167.782,40;85.889,00;-578.006,00;474.367,75;-211.284,38
01.03.2023;01.04.2023;2.068.380,55;578.565,50;-471.018,20;636.790,28;-90.151,48;435.394,80;-1.177.135,30;401.835,00;-250.195,60;315.436,62;0,00;31.017,20;-256.287,50;920.272,86;-124.839,43;1.415.227,80;-414.329,75;348.705,80;-258.094,40;267.851,00;-429.244,00;512.972,32;-324.392,97
01.04.2023;01.05.2023;-407.107,58;502.937,55;-559.241,05;663.938,77;-83.482,02;316.506,50;-1.516.427,40;320.122,20;-423.768,80;289.258,49;0,00;16.433,80;-356.928,20;540.332,87;-279.601,87;865.905,70;-439.628,15;261.007,00;-297.329,00;179.938,00;-547.676,00;451.113,58;-310.519,55
01.05.2023;01.06.2023;-3.544.842,29;431.216,90;-899.655,85;394.397,97;-675.865,78;270.068,00;-1.338.156,60;293.323,60;-318.684,60;272.729,24;0,00;22.952,00;-244.593,80;272.223,76;-386.574,80;147.311,25;-1.142.666,00;248.342,10;-316.554,90;111.388,00;-550.173,00;190.935,18;-326.804,95
01.06.2023;01.07.2023;-4.035.749,13;341.465,70;-948.455,10;209.288,50;-1.210.901,74;307.356,20;-1.189.075,80;253.934,50;-373.300,20;280.539,32;0,00;19.554,90;-128.096,20;241.943,48;-480.672,24;230.685,50;-933.660,95;267.322,40;-187.116,50;86.515,00;-583.503,00;274.452,95;-514.025,85
01.07.2023;01.08.2023;-3.367.058,07;263.267,90;-959.801,20;249.542,75;-953.404,24;333.925,70;-1.812.828,30;284.623,40;-311.719,60;283.735,46;0,00;34.662,90;-350.455,50;558.268,52;-236.517,71;567.835,00;-693.407,65;285.578,90;-124.235,40;113.631,00;-644.774,00;250.452,98;-505.438,98
01.08.2023;01.09.2023;-5.846.355,91;277.507,55;-1.142.928,35;190.840,02;-1.170.102,24;239.031,10;-1.632.598,00;187.976,30;-577.131,70;268.732,57;0,00;9.967,60;-351.176,00;264.067,31;-569.809,80;285.444,45;-954.023,40;203.528,90;-379.872,80;58.055,00;-787.878,00;203.524,80;-469.511,22
01.09.2023;01.10.2023;-4.537.162,75;301.282,20;-719.977,45;206.010,96;-969.664,74;206.130,80;-1.428.502,60;221.228,00;-497.358,20;286.666,34;0,00;5.840,60;-259.335,60;405.082,89;-393.494,73;163.836,85;-1.017.620,75;207.600,60;-336.201,50;18.300,00;-700.287,00;246.412,60;-483.112,02
01.10.2023;01.11.2023;-1.455.331,22;456.568,40;-631.679,05;431.552,17;-415.023,07;248.021,60;-1.262.615,60;357.657,80;-254.432,60;301.539,73;-3.877,69;14.223,20;-401.250,20;1.191.764,07;-67.050,16;373.449,70;-1.256.144,65;342.134,80;-265.552,70;81.131,00;-723.051,00;445.123,87;-417.820,85
01.11.2023;01.12.2023;56.388,03;764.360,45;-351.887,00;430.440,64;-289.892,87;545.820,80;-888.197,90;322.097,20;-374.402,80;305.110,57;0,00;17.938,10;-256.220,30;747.578,23;-233.971,54;454.865,60;-1.036.092,45;306.474,10;-298.907,50;204.301,00;-369.566,00;463.128,03;-406.588,32
01.12.2023;01.01.2024;2.577.198,27;575.412,95;-421.635,55;494.126,19;-286.004,97;1.087.021,10;-653.363,40;518.317,50;-265.704,00;311.945,77;0,00;147.492,60;-104.766,70;1.167.460,72;-167.836,49;636.847,90;-977.263,25;445.723,20;-192.408,80;431.587,00;-207.775,00;454.601,82;-416.580,32
01.01.2024;01.02.2024;1.333.019,40;552.506,60;-686.883,25;407.749,37;-365.207,27;902.675,60;-1.138.929,70;564.066,70;-202.587,80;344.225,19;0,00;87.625,90;-150.415,70;1.020.100,27;-151.129,51;697.119,85;-857.169,65;555.963,50;-128.656,60;259.351,00;-428.038,00;492.308,93;-441.656,03
01.02.2024;01.03.2024;-125.743,86;490.758,50;-601.108,80;371.581,71;-396.539,62;562.547,00;-1.280.975,60;532.820,40;-190.241,00;288.950,43;0,00;11.789,60;-194.168,90;997.742,72;-90.857,45;396.287,95;-1.135.351,25;525.301,60;-113.984,00;181.149,00;-437.558,00;389.316,10;-433.204,25
01.03.2024;01.04.2024;-2.102.867,93;490.087,45;-694.569,95;468.312,84;-331.793,20;516.289,20;-1.575.192,70;356.752,50;-292.517,00;302.914,24;0,00;31.754,30;-224.682,50;738.678,28;-198.666,74;177.016,80;-1.371.723,15;382.523,30;-243.030,40;170.357,00;-601.351,00;306.094,85;-510.122,05
01.04.2024;01.05.2024;-2.596.588,61;448.394,95;-790.298,20;211.853,61;-927.901,53;545.770,90;-1.158.180,00;404.718,30;-276.848,30;271.781,15;0,00;63.061,80;-171.983,30;499.621,13;-281.402,57;144.107,80;-1.070.425,75;385.232,40;-228.796,30;176.082,00;-604.785,00;146.605,55;-383.197,25
01.05.2024;01.06.2024;-3.753.556,00;641.178,45;-636.001,65;128.835,51;-1.097.915,73;540.735,20;-1.551.370,70;503.025,80;-254.295,70;285.933,89;0,00;42.331,50;-326.406,80;505.078,65;-262.851,02;113.960,25;-1.696.583,75;505.426,40;-220.458,70;108.635,00;-697.254,00;259.418,00;-644.976,60
01.06.2024;01.07.2024;-3.764.039,20;470.806,40;-811.566,95;51.727,10;-1.042.877,91;581.298,10;-1.525.446,60;532.366,90;-179.614,00;271.815,88;0,00;42.635,40;-217.628,50;512.244,48;-189.653,02;58.834,14;-1.793.559,34;600.060,20;-135.360,40;134.661,00;-675.141,00;185.619,65;-635.260,72
01.07.2024;01.08.2024;-4.488.963,41;484.904,45;-813.999,05;30.400,70;-1.717.960,24;545.522,50;-1.660.635,30;501.399,93;-216.223,70;287.467,72;0,00;39.112,00;-293.372,00;629.140,48;-107.820,29;69.491,45;-1.841.797,38;598.017,80;-107.580,00;157.527,00;-692.236,00;251.667,47;-631.990,95
01.08.2024;01.09.2024;-4.388.005,13;450.589,95;-1.102.964,05;106.141,54;-1.398.156,31;457.337,80;-1.732.033,50;487.716,60;-208.451,87;265.899,01;0,00;19.745,00;-293.413,00;800.002,86;-80.920,88;150.744,88;-1.644.809,94;521.647,70;-163.177,80;102.393,00;-714.700,00;210.188,13;-621.784,25
01.09.2024;01.10.2024;-2.806.204,88;613.890,85;-535.810,65;213.923,44;-892.098,82;590.305,70;-1.454.292,10;318.966,67;-324.071,90;263.639,57;0,00;9.680,00;-108.439,00;679.040,66;-148.521,27;146.445,91;-1.480.389,49;347.990,10;-263.518,60;96.447,00;-519.481,00;222.336,80;-582.248,75
01.10.2024;01.11.2024;-3.797.097,67;873.581,45;-383.900,50;168.076,31;-1.114.224,54;359.230,30;-1.555.775,90;306.509,32;-367.166,48;311.155,72;0,00;9.508,00;-287.583,00;325.700,17;-365.222,90;68.732,34;-1.354.941,49;451.368,70;-291.583,20;64.313,00;-642.548,00;239.261,50;-611.588,47
01.11.2024;01.12.2024;-1.487.584,46;442.447,55;-1.009.944,95;432.700,59;-505.762,20;345.808,60;-1.546.908,40;586.602,40;-247.943,32;330.884,45;0,00;20.958,00;-332.809,00;1.166.122,74;-130.521,77;317.490,17;-960.632,92;501.256,10;-240.734,60;55.884,00;-656.451,00;401.607,03;-457.637,93
01.12.2024;01.01.2025;-349.752,56;405.746,25;-771.748,40;471.920,98;-374.230,93;254.144,60;-1.975.185,60;673.261,68;-207.476,17;318.837,36;0,00;8.326,00;-391.790,00;1.612.239,36;-82.492,96;741.141,10;-772.903,55;498.273,70;-230.763,70;48.990,00;-688.643,00;453.514,57;-340.913,85
01.01.2025;01.02.2025;-516.328,59;507.273,25;-809.087,45;538.904,07;-324.021,43;435.423,70;-1.802.362,50;600.652,95;-176.507,55;345.389,10;0,00;17.438,00;-338.689,00;1.620.238,93;-49.949,07;452.891,95;-1.004.578,08;410.564,90;-304.955,30;80.757,00;-745.684,00;447.875,90;-417.903,95
